time, bids, asks, maxclose, minclose, uppertarget, lowertarget
1088726400, 1.2315, 1.2319, 1.2414, 1.2286, 0.7714169711733711, -0.2679658952497021
1088985600, 1.2286, 1.229, 1.2414, 1.2286, 1.009278853980155, -0.03255738238645255
1089072000, 1.2289, 1.2293, 1.2414, 1.2289, 0.9846203922207033, -0.03254943445357279
1089158400, 1.2366, 1.237, 1.2414, 1.2335, 0.3558143296134709, -0.2830341258288725
1089244800, 1.2391, 1.2395, 1.2414, 1.2335, 0.1533370995077082, -0.4842224194980231
1089331200, 1.2414, 1.2418, 1.2454, 1.2335, 0.2899951667472247, -0.6685999677783128
1089590400, 1.2409, 1.2413, 1.2454, 1.2335, 0.3304053509549694, -0.6285760335240397
1089676800, 1.2335, 1.2339, 1.2454, 1.2328, 0.9323064450749952, -0.08917713822455442
1089763200, 1.2383, 1.2387, 1.2454, 1.2278, 0.5410643624323791, -0.8802390373899629
1089849600, 1.2357, 1.2361, 1.2454, 1.2253, 0.7526098567613568, -0.8739985433357547
1089936000, 1.2454, 1.2458, 1.2454, 1.2093, -0.03211819495743985, -2.930785289866707
1090195200, 1.2443, 1.2447, 1.2443, 1.2093, -0.03214658844329792, -2.844973077232169
1090281600, 1.2328, 1.2332, 1.2328, 1.2057, -0.03244646333549286, -2.230694354315386
1090368000, 1.2278, 1.2282, 1.2278, 1.2054, -0.03257859586251474, -1.856979964163539
1090454400, 1.2253, 1.2257, 1.2253, 1.2041, -0.03264506651431943, -1.762833591773448
1090540800, 1.2093, 1.2097, 1.2146, 1.2023, 0.4051930869097746, -0.611924253700494
1090800000, 1.2146, 1.215, 1.2146, 1.2023, -0.03293265272517339, -1.045611724024365
1090886400, 1.2057, 1.2061, 1.2057, 1.2023, -0.03317574852782251, -0.3151696110143506
1090972800, 1.2054, 1.2058, 1.2054, 1.2023, -0.03318400530943719, -0.2903600464576123
1091059200, 1.2041, 1.2045, 1.2056, 1.2023, 0.09135453865958815, -0.1827090773191579
1091145600, 1.2023, 1.2027, 1.228, 1.2023, 2.104300091491317, -0.03326956666389054
1091404800, 1.2023, 1.2027, 1.228, 1.2023, 2.104300091491317, -0.03326956666389054
1091491200, 1.2049, 1.2053, 1.228, 1.2049, 1.883973773757153, -0.03319777574902116
1091577600, 1.2052, 1.2056, 1.228, 1.2052, 1.858612678393625, -0.03318951211416826
1091664000, 1.2056, 1.206, 1.228, 1.2056, 1.824817518248177, -0.03317850033178135
1091750400, 1.228, 1.2284, 1.2374, 1.2224, 0.7328990228013126, -0.4885993485342025
1092009600, 1.2268, 1.2272, 1.2374, 1.2224, 0.8314313661558697, -0.3912618193674532
1092096000, 1.2229, 1.2233, 1.2374, 1.2224, 1.152996974405103, -0.07359555155778255
1092182400, 1.2224, 1.2228, 1.2374, 1.2224, 1.194371727748705, -0.03272251308900163
1092268800, 1.2249, 1.2253, 1.2374, 1.2249, 0.9878357416932178, -0.0326557269981187
1092355200, 1.2374, 1.2378, 1.2374, 1.2321, -0.03232584451268433, -0.4606432843058055
1092614400, 1.2354, 1.2358, 1.2369, 1.214, 0.08903998704871935, -1.764610652420272
1092700800, 1.235, 1.2354, 1.2369, 1.2079, 0.1214574898785471, -2.226720647773268
1092787200, 1.2336, 1.234, 1.2369, 1.2079, 0.2350843060959713, -2.115758754863814
1092873600, 1.2369, 1.2373, 1.2369, 1.2079, -0.03233891179561452, -2.376910016977919
1092960000, 1.2321, 1.2325, 1.2321, 1.2012, -0.03246489732975862, -2.540378216053882
1093219200, 1.214, 1.2144, 1.214, 1.2012, -0.03294892915979868, -1.087314662273466
1093305600, 1.2079, 1.2083, 1.218, 1.2012, 0.803046609818697, -0.587797003063158
1093392000, 1.2085, 1.2089, 1.2193, 1.2012, 0.8605709557302597, -0.6371534960694927
1093478400, 1.2104, 1.2108, 1.2193, 1.2012, 0.7022471910112504, -0.7931262392597348
1093564800, 1.2012, 1.2016, 1.2193, 1.2012, 1.473526473526478, -0.03330003330002963
1093824000, 1.2052, 1.2056, 1.2193, 1.2052, 1.136740789910392, -0.03318951211416826
1093910400, 1.218, 1.2184, 1.2193, 1.2058, 0.07389162561577364, -1.034482758620685
1093996800, 1.2193, 1.2197, 1.2193, 1.2058, -0.032805708193222, -1.139998359714592
1094083200, 1.2167, 1.2171, 1.2235, 1.2058, 0.5260129859456056, -0.9287416783101724
1094169600, 1.2058, 1.2062, 1.226, 1.2058, 1.642063360424618, -0.03317299718029159
1094428800, 1.2066, 1.207, 1.226, 1.2066, 1.574672633847185, -0.03315100281783159
1094515200, 1.2104, 1.2108, 1.226, 1.2104, 1.255783212161278, -0.03304692663581923
1094601600, 1.2178, 1.2182, 1.226, 1.215, 0.6404992609623935, -0.2627689275743037
1094688000, 1.2235, 1.2239, 1.226, 1.215, 0.1716387413158963, -0.727421332243556
1094774400, 1.226, 1.2264, 1.226, 1.215, -0.03262642740619542, -0.9298531810766602
1095033600, 1.226, 1.2264, 1.226, 1.215, -0.03262642740619542, -0.9298531810766602
1095120000, 1.2248, 1.2252, 1.2329, 1.215, 0.6286740692357787, -0.8327890267798813
1095206400, 1.215, 1.2154, 1.2329, 1.215, 1.440329218106983, -0.03292181069958485
1095292800, 1.2186, 1.219, 1.2329, 1.2172, 1.140653208600035, -0.1477104874445923
1095379200, 1.2188, 1.2192, 1.2329, 1.2172, 1.1240564489662, -0.16409583196585
1095638400, 1.2172, 1.2176, 1.2329, 1.2172, 1.256983240223453, -0.03286230693394315
1095724800, 1.2329, 1.2333, 1.2329, 1.2264, -0.03244383161651034, -0.5596560953848574
1095811200, 1.2264, 1.2268, 1.2333, 1.2264, 0.5300065231572222, -0.03261578604043999
1095897600, 1.2264, 1.2268, 1.2429, 1.2264, 1.312785388127872, -0.03261578604043999
1095984000, 1.2274, 1.2278, 1.2429, 1.2274, 1.23024278963664, -0.03258921297050317
